Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot,Processed_Plot
1919,The Law of Men,American,Fred Niblo,"Enid Bennett, Niles Welch",drama,https://en.wikipedia.org/wiki/The_Law_of_Men,"As described in a film magazine,[3] Laura Dayne (Bennett), an ambitious young sculptress courted by neighboring young artist Denis Connors (Welch), has limited contact with the social world and knows little of the ""law of men"" and so unsuspicious when decadent architect Jamison Keene (MacDonald) lures her to the Tarrytown Inn one night with a promise to consummate her dream of having her work in a municipal building. Keene had recently had the artist paint a miniature of Mildred Wade (Matthews), the foolish wife of Laura's dear friend Benton Wade (Robson). Laura goes to the Tarrytown Inn and into the trap set for her. Keene uses all of his disarming wiles in vain as Laura puts up such a struggle that the Inn management forces Keene to release her. Overwhelmed by the sense of her own folly, she goes to the artist and tells her story. In fury Denis goes to the Inn, but is ejected by the house detectives for using threatening language. He returns to his rooms and suggests marriage as the only way to protect Laura. She accepts, and just after the ceremony Denis is arrested for the murder of Keene. At the trial Benton Wade, motivated also by his hatred of the spoiler of his own home, makes an impassioned defense of the innocent young man, but fails. Benton then becomes a victim of fear as Laura traces step by step his guilt for the crime and confronts him with the evidence. At the sentencing hearing Benton confesses his guilt and then drinks poison, leaving the young artist and his devoted wife whose intelligence saved him.",describ film magazine3 laura dayn bennett ambiti young sculptress court neighbor young artist deni connor welch limit contact social world know littl law men unsuspici decad architect jamison keen macdonald lure tarrytown inn one night promis consumm dream work municip build keen recent artist paint miniatur mildr wade matthew foolish wife laura dear friend benton wade robson laura goe tarrytown inn trap set keen use disarm wile vain laura put struggl inn manag forc keen releas overwhelm sens folli goe artist tell stori furi deni goe inn eject hous detect use threaten languag return room suggest marriag way protect laura accept ceremoni deni arrest murder keen trial benton wade motiv also hatr spoiler home make impass defens innoc young man fail benton becom victim fear laura trace step step guilt crime confront evid sentenc hear benton confess guilt drink poison leav young artist devot wife whose intellig save
1919,Love's Prisoner,American,John Francis Dillon,"Olive Thomas, Ann Kroman",crime drama,https://en.wikipedia.org/wiki/Love%27s_Prisoner,"A poor girl named Nancy (Olive Thomas) leaves to take care of her two younger sisters, Sadie (Ann Forrest) and Jane (Dolly Dare), while their father (Walter Perry), who is a former criminal, is sent to prison for a crime which he has not committed and dies there. At that time Jonathan Twist, a quaint philosopher and their somewhat mysterious neighbor who operates a watch repair shop and part-time fence, offers them help, and Nancy finds with his help a job as a seller of Cocoa Climax. Nancy marries with a British business man and peer Lord Cleveland, and she becomes Lady Cleveland. However, Lord Clevelend dies very soon without a will and . Nancy does not have enough income to keep up the estates of Lord Cleveland in England, which pass to his other relatives, but receives the palatial home in America. She manages to keep this home and its servants without any visible means of support, and during this time the activities of a crook called by the police ""The Bird"" is mystifying the authorities. On the night of a reception at her house there is a large diamond theft, and Jim Garside is detailed to catch The Bird. Jim discovers that Nancy is The Bird and Jonathan is her fence for the jewels she has taken, where much of the moneys have gone to the poor. Jim maintains her works for charity while she serves out her prison term, and in the end they are married.",poor girl name nanci oliv thoma leav take care two younger sister sadi ann forrest jane dolli dare father walter perri former crimin sent prison crime commit die time jonathan twist quaint philosoph somewhat mysteri neighbor oper watch repair shop parttim fenc offer help nanci find help job seller cocoa climax nanci marri british busi man peer lord cleveland becom ladi cleveland howev lord clevelend die soon without nanci enough incom keep estat lord cleveland england pass rel receiv palati home america manag keep home servant without visibl mean support time activ crook call polic bird mystifi author night recept hous larg diamond theft jim garsid detail catch bird jim discov nanci bird jonathan fenc jewel taken much money gone poor jim maintain work chariti serv prison term end marri
1919,Male and Female,American,Cecil B. DeMille,"Gloria Swanson, Thomas Meighan",adventure,https://en.wikipedia.org/wiki/Male_and_Female,"The film centers on the relationship between Lady Mary Loam (Swanson), a British aristocrat, and her butler, Crichton (Meighan). Crichton fancies a romance with Mary, but she disdains him because of his lower social class. When the two and some others are shipwrecked on a deserted island, they are left to fend for themselves in a state of nature.
The aristocrats' abilities to survive are far worse than those of Crichton, and a role reversal ensues, with the butler becoming a king among the stranded group. Crichton and Mary are about to wed on the island when the group is rescued. Upon returning to Britain, Crichton chooses not to marry Mary; instead, he asks a maid, Tweeny (who was attracted to Crichton throughout the film), to marry him, and the two move to the United States.",film center relationship ladi mari loam swanson british aristocrat butler crichton meighan crichton fanci romanc mari disdain lower social class two other shipwreck desert island left fend state natur aristocrat abil surviv far wors crichton role revers ensu butler becom king among strand group crichton mari wed island group rescu upon return britain crichton choos marri mari instead ask maid tweeni attract crichton throughout film marri two move unit state
1919,A Man's Fight,American,Thomas N. Heffron,"Dustin Farnum, Harry von Meter",drama,https://en.wikipedia.org/wiki/A_Man%27s_Fight,"As described in a film magazine,[4] wealthy clubman Roger Carr (Farnum) assumes responsibility for a murder for which he believes his sister is guilty. He serves his sentence and returns home only to find that his father will not accept him back as he has besmirched the family name. His sister has entered a convent. He goes west and engages in his profession, mining engineer, soon becoming the leader of the independent miner operators against trust persecution. Here he meets and learns to love a western girl that works as his stenographer. When success is about to crown his efforts, his antagonists discover his prison record and use it against him. Then his sister appears with a signed confession of a butler, formerly in their employ, who told the truth of the murder on his dying bed. This results in a happy ending.",describ film magazine4 wealthi clubman roger carr farnum assum respons murder believ sister guilti serv sentenc return home find father accept back besmirch famili name sister enter convent goe west engag profess mine engin soon becom leader independ miner oper trust persecut meet learn love western girl work stenograph success crown effort antagonist discov prison record use sister appear sign confess butler formerli employ told truth murder die bed result happi end
1919,The Miracle Man,American,George Loane Tucker,"Lon Chaney, Betty Compson",drama,https://en.wikipedia.org/wiki/The_Miracle_Man_(1919_film),"The film takes place in a small, New England town in 1919 (the Broadway play 1914), where a group of con men plan to use a faith healer to collect money.
In New York City's Chinatown, four crooks conspire to swindle a small New England town. The gang consists of Tom Burke (Thomas Meighan), the head of the group; Rose (Betty Compson), a con artist posing as a street walker; ""The Dope"" (J.M. Dumont), who pretends to pimp Rose; and The Frog (Lon Chaney), a contortionist.
The plan is clear: in a small town outside of Boston there is a Patriarch (Joseph Dowling) who has been healing people. The group heads to the town and plans to use the Patriarch in a faith healing scheme. When the townspeople gather to see the Patriarch heal the sick, the Frog is there, posing as a cripple. As he crawls to the path of the man, his limbs become straightened and soon he walks to the Patriarch, supposedly healed. Unexpectedly, a crippled boy, his faith in the Patriarch overpowering him, loses his crutches and runs to the Patriarch.
The story spreads across the country (mostly on account of Burke), and people flock in from all over to visit the Patriarch and be healed. When a millionaire, Richard King (W. Lawson Butt), brings his sister to be healed, he gives Burke $50,000 after the Patriarch cures her. During this visit, King meets Rose, and the two fall in love.
Meanwhile, all is not well with Burke. One by one, he sees his gang disbanding because, unbeknownst to him, the healing power of the Patriarch is at work. The Dope gives up his drug addiction, The Frog gives up his life of crime and takes care of a widow left all alone, and Rose laments King's departure.
Burke becomes jealous, but when King returns to propose his marriage to Rose, she realizes that she loves Burke. The Patriarch dies, and the two lovers begin anew.",film take place small new england town 1919 broadway play 1914 group con men plan use faith healer collect money new york citi chinatown four crook conspir swindl small new england town gang consist tom burk thoma meighan head group rose betti compson con artist pose street walker dope jm dumont pretend pimp rose frog lon chaney contortionist plan clear small town outsid boston patriarch joseph dowl heal peopl group head town plan use patriarch faith heal scheme townspeopl gather see patriarch heal sick frog pose crippl crawl path man limb becom straighten soon walk patriarch supposedli heal unexpectedli crippl boy faith patriarch overpow lose crutch run patriarch stori spread across countri mostli account burk peopl flock visit patriarch heal millionair richard king w lawson butt bring sister heal give burk 50000 patriarch cure visit king meet rose two fall love meanwhil well burk one one see gang disband unbeknownst heal power patriarch work dope give drug addict frog give life crime take care widow left alon rose lament king departur burk becom jealou king return propos marriag rose realiz love burk patriarch die two lover begin anew
1919,The Miracle of Love,American,Robert Z. Leonard,"Lucy Cotton, Wyndham Standing",drama,https://en.wikipedia.org/wiki/The_Miracle_of_Love_(film),"As described in a film magazine,[5] Clive (Standing), the younger brother of the Duke of Cheshire, is greatly relieved when the Duke marries an American woman of wealth. He then feels at liberty to pursue his conquest of the Duchess of Cheshire (Davenport), whose husband's brutality has led the Lady to seek companionship elsewhere. However, the untimely death of the Duke and Duchess throw upon his shoulders the responsibilities of the title and estate. Consequently, he becomes engaged to Cornelia Kirby, an American heiress, and looks forward to a life spent in fulfillment of duty. then a man from America arrives and claims Cornelia as his own. The death of the Duke of Cheshire leaves the way open for Clive to marry his widow and find happiness.",describ film magazine5 clive stand younger brother duke cheshir greatli reliev duke marri american woman wealth feel liberti pursu conquest duchess cheshir davenport whose husband brutal led ladi seek companionship elsewher howev untim death duke duchess throw upon shoulder respons titl estat consequ becom engag cornelia kirbi american heiress look forward life spent fulfil duti man america arriv claim cornelia death duke cheshir leav way open clive marri widow find happi
1919,My Lady's Garter,American,Maurice Tourneur,"Wyndham Standing, Sylvia Breamer",mystery,https://en.wikipedia.org/wiki/My_Lady%27s_Garter,"As described in a film magazine,[4] a jeweled garter with an interesting history disappears under mysterious circumstances from the British Museum. The Hawk, a criminal who has never been apprehended even though he obligingly leaves many clues for the police to follow, is suspected. Helen Hamilton (Breamer), daughter of a wealthy American, loses her jewels after throwing them out of a window at Keats Gaunt (Craig), a poet she imagines she is in love with. A tiff with Gaunt follows and she dives into the sea, being rescued by a strange gentleman in a yacht who gives his name as Bruce Calhoun (Standing). English detectives suspect him of the robbery and watch him closely. He goes to Helen's home and becomes acquainted with her family, but his mysterious actions raise doubts in the minds of all save Helen, who now loves him. Not even to her, however, will he admit his part in the mysterious proceedings that are occurring continuously until, by a master stroke, he catches the criminal, a rival for Helen's affections, and then reveals that he is an American secret service man and worthy of her love.",describ film magazine4 jewel garter interest histori disappear mysteri circumst british museum hawk crimin never apprehend even though obligingli leav mani clue polic follow suspect helen hamilton breamer daughter wealthi american lose jewel throw window keat gaunt craig poet imagin love tiff gaunt follow dive sea rescu strang gentleman yacht give name bruce calhoun stand english detect suspect robberi watch close goe helen home becom acquaint famili mysteri action rais doubt mind save helen love even howev admit part mysteri proceed occur continu master stroke catch crimin rival helen affect reveal american secret servic man worthi love
1919,Nine-Tenths of the Law,American,B. Reeves Eason,"Mitchell Lewis, Jimsy Maye",drama,https://en.wikipedia.org/wiki/Nine-Tenths_of_the_Law,"As described in a film magazine,[1] Jules Leneau (Lewis) and his wife Jane (Maye), living in a cabin in the Northwoods, are inconsolable after the death of their infant son. Through the wicked scheme of Red Adair (Eason) and his partner, trappers who live below the Leneaus, a child from the city is kidnapped and brought to the woods. The child wanders away and falls into a bear trap set by Jules, who discovers him there. The child is adopted by Jules and his wife and, because of her joy, he does not try to discover where the child is from. Red Adair makes several attempts to recover the child, and as a result Jules learns where the child belongs, and resolves to give him up despite Jane's pleadings. She is about to cast herself from a cliff when the story is brought to a happy and unexpected ending.",describ film magazine1 jule leneau lewi wife jane may live cabin northwood inconsol death infant son wick scheme red adair eason partner trapper live leneau child citi kidnap brought wood child wander away fall bear trap set jule discov child adopt jule wife joy tri discov child red adair make sever attempt recov child result jule learn child belong resolv give despit jane plead cast cliff stori brought happi unexpect end
1919,Pistols for Breakfast,American,Alfred J. Goulding,"Harold Lloyd, Bebe Daniels",comedy,https://en.wikipedia.org/wiki/Pistols_for_Breakfast,"A young man (Fay) goes out to eat breakfeast with his friend (Harrison). As a restaurant ""regular"" with a pistol threatens to eat everyone's bacon, the two friends flee.",young man fay goe eat breakfeast friend harrison restaur regular pistol threaten eat everyon bacon two friend flee
1919,The Probation Wife,American,Sidney Franklin,"Norma Talmadge, Thomas Meighan",comedy,https://en.wikipedia.org/wiki/The_Probation_Wife,"As described in a film magazine,[5] novelest Harrison Wade (Meighan) goes with his fiancee and a wealthy rouge to a resort where wine and women are to be held for the asking. Disgusted with his fiance's flirtations, he meets Jo (Talmadge), an orphan kept captive, and gives her money to escape. She fails in her attempt and is later sent to a reformatory, from which she escapes and makes her way to the city. To save her from recapture, Wade marries her, promising to divorce her when her probation is over. His former fiance, now married to the millionaire, continues to take Wade, whom she really loves, around with her. Wades best friend Huntley McMerton (Francis) persuades Jo to appear with him at various cafes in order to get Wade to declare that he loves her. This Wade is finally forced to do, and they then explain their scheme to him and the couple lives happily.",describ film magazine5 novelest harrison wade meighan goe fiance wealthi roug resort wine women held ask disgust fianc flirtat meet jo talmadg orphan kept captiv give money escap fail attempt later sent reformatori escap make way citi save recaptur wade marri promis divorc probat former fianc marri millionair continu take wade realli love around wade best friend huntley mcmerton franci persuad jo appear variou cafe order get wade declar love wade final forc explain scheme coupl live happili
1919,Ravished Armenia,American,Oscar Apfel,"Aurora Mardiganian, Irving Cummings",drama,https://en.wikipedia.org/wiki/Ravished_Armenia_(film),"According to a contemporary New York Times article, the first half of the film shows ""Armenia as it was before Turkish and German devastation, and led up to the deportation of priests and thousands of families into the desert. One of the concluding scenes showed young Armenian women flogged for their refusal to enter Turkish harems and depicted the Turkish slave markets.""[2] The story was adapted for the screen by Henry Leyford Gates, who also wrote the book.[3]",accord contemporari new york time articl first half film show armenia turkish german devast led deport priest thousand famili desert one conclud scene show young armenian women flog refus enter turkish harem depict turkish slave markets2 stori adapt screen henri leyford gate also wrote book3
1919,The Roaring Road,American,James Cruze,"Wallace Reid, Ann Little",romance,https://en.wikipedia.org/wiki/The_Roaring_Road,"As described in a film magazine,[3] ""Toodles"" Walden (Reid), an automobile salesman who works for a sporty old automobile distributor J. D. Ward (Roberts), has racing ambitions and is in love with Ward's daughter Dorothy (Little). The old man does not propose to give her up for five years and overreaches in an attempt to stimulate the young man with feigned complaints. They part company, but Ward is in despair when three racing machines are damaged in a train wreck.
Toodles buys the wreckage and assembles one complete car with the aid of his mechanic. With this car Toodles wins an important race, then holds up Ward for an increase in pay. There are just a few days left for a record to be broken between Los Angeles and San Francisco, and after Toodles is arrested for speeding, Ward has him released as part of his plot to break this record. Ward kidnaps his own daughter, and Toodles comes to the rescue and breaks the record, and also wins Dorothy.",describ film magazine3 toodl walden reid automobil salesman work sporti old automobil distributor j ward robert race ambit love ward daughter dorothi littl old man propos give five year overreach attempt stimul young man feign complaint part compani ward despair three race machin damag train wreck toodl buy wreckag assembl one complet car aid mechan car toodl win import race hold ward increas pay day left record broken lo angel san francisco toodl arrest speed ward releas part plot break record ward kidnap daughter toodl come rescu break record also win dorothi
1919,A Rogue's Romance,American,James Young,"Earle Williams, Harry von Meter",crime drama,https://en.wikipedia.org/wiki/A_Rogue%27s_Romance,"As described in a film magazine,[3] Jules Marin (Williams), a Paris thief so clever that the police cannot catch him, has been decorated with the Croix de guerre and loves children. He is popular with the underworld and people warn him when the police are coming. He makes an Apache jealous, and this man tells the prefect of police Henri Duval (Shaw) that Marin will be at a particular restaurant. However, Marin is told that one of his adopted orphan, whom he has picked out among the refugees, is sick, and leaves, thus saves himself. On the way to the orphan his car breaks down, and he goes to the home of jeweler Anton Deprenay (Standing) to get a car. The daughter Mme. Helen (Adams) is there alone and, believing that he is on a mission of mercy, lets him use the car, with him leaving his military decoration as collateral. The police later follow and take down the number of the car. When the prefect goes to the Deprenays, the car has been returned. Later, at a party, Marin is introduced to Helen as M. Picard, but she recognizes his voice. Marin recognizes a crooked promoter at the party. A necklace is stolen, and Helen suspects Marin, but he proves his innocence and recovers the gems. Helen tells him that when he gets as good a recognition from society as he obtained in the field of battle, she will be his friend. Marin learns that the promoter has a stock market scheme to swindle the community out of millions, so, while posing as an investigator from Scotland Yard, Marin helps the prefect get the money back. He and Helen ride off in an automobile.",describ film magazine3 jule marin william pari thief clever polic catch decor croix de guerr love children popular underworld peopl warn polic come make apach jealou man tell prefect polic henri duval shaw marin particular restaur howev marin told one adopt orphan pick among refuge sick leav thu save way orphan car break goe home jewel anton deprenay stand get car daughter mme helen adam alon believ mission merci let use car leav militari decor collater polic later follow take number car prefect goe deprenay car return later parti marin introduc helen picard recogn voic marin recogn crook promot parti necklac stolen helen suspect marin prove innoc recov gem helen tell get good recognit societi obtain field battl friend marin learn promot stock market scheme swindl commun million pose investig scotland yard marin help prefect get money back helen ride automobil
1919,A Romance of Happy Valley,American,D.W. Griffith,"Lillian Gish, Robert Harron",drama,https://en.wikipedia.org/wiki/A_Romance_of_Happy_Valley,"As described in a film magazine,[3] the senior John L. Logan (Fawcett) and his wife (Bruce) are very religious, and are taken aback when John Jr. (Harron) announces that he plans to leave their Southern farm and go to New York City to get rich. They take him to church and pray until he accepts religion. His sweetheart Jennie Timberlake (Gish) is afraid that he will backslide, which he does when the lure of the city becomes too strong for him. He is gone seven years and returns a rich man, but is not recognized when he returns home, which is now taking in boarders. Meanwhile, his father has fallen on hard times and is trying to get money to pay the farm's mortgage, and plans to murder the stranger staying at his home, not realizing it is his son. In town, there is a bank robbery and the robber is chased to the Logan farm. The mother sees that her son has returned home, and the father's remorse ends only as the family is once more together. It is then revealed that it was the bank robber that had been shot by the father. The faithful Jennie and John Jr. end up together at the end.",describ film magazine3 senior john l logan fawcett wife bruce religi taken aback john jr harron announc plan leav southern farm go new york citi get rich take church pray accept religion sweetheart jenni timberlak gish afraid backslid lure citi becom strong gone seven year return rich man recogn return home take boarder meanwhil father fallen hard time tri get money pay farm mortgag plan murder stranger stay home realiz son town bank robberi robber chase logan farm mother see son return home father remors end famili togeth reveal bank robber shot father faith jenni john jr end togeth end
1919,Sahara,American,Arthur Rosson,"Louise Glaum, Matt Moore",drama,https://en.wikipedia.org/wiki/Sahara_(1919_film),"Silent film femme fatale, Louise Glaum, portrays the role of Mignon, a Parisian music hall celebrity. Mignon marries a young American civil engineer, John Stanley, portrayed by Matt Moore. Stanley is transferred to Egypt to work on an engineering project in the Sahara. Mignon and her son, portrayed by Pat Moore, join Stanley in the desert.[3][4] Unhappy with life in the desert, Mignon leaves Stanley and her son in the desert and moves to Cairo with the wealthy Baron Alexis, portrayed by Edwin Stevens. Mignon lives in Baron Alexis' palace while Stanley goes blind and becomes addicted to the drug hasheesh. Mignon later encounters Stanley and her son, who have become beggars in the streets of Cairo.[3][4] Mignon returns to the desert to care for her husband, and the two are reconciled.",silent film femm fatal louis glaum portray role mignon parisian music hall celebr mignon marri young american civil engin john stanley portray matt moor stanley transfer egypt work engin project sahara mignon son portray pat moor join stanley desert34 unhappi life desert mignon leav stanley son desert move cairo wealthi baron alexi portray edwin steven mignon live baron alexi palac stanley goe blind becom addict drug hasheesh mignon later encount stanley son becom beggar street cairo34 mignon return desert care husband two reconcil
1919,Scarlet Days,American,D.W. Griffith,"Richard Barthelmess, Eugenie Besserer",western,https://en.wikipedia.org/wiki/Scarlet_Days,"As described in a film magazine,[5] Rosie Nell (Besserer), a woman of dance halls in early lawless California, is wrongly charged with the murder of one of her fellow entertainers. Because her daughter (Dempster), who knows nothing of her mother's station in life, is to return the next day from her school in the east, Rosie is granted three days of grace to be spent in company with her daughter at a nearby cabin. The three days pass happily, but King Bagley (Long), manager of the dance hall, has seen the daughter and determined to make her his own. The women barricade themselves in the cabin to resist capture and Alvarez (Barthelmess), a young outlaw with considerable local prestige, comes to their assistance. John Randolph (Graves), who also loves the young woman, joins the fight on their side, which ends with the timely arrival of the Sheriff (Fawcett). This results in a happy ending.",describ film magazine5 rosi nell besser woman danc hall earli lawless california wrongli charg murder one fellow entertain daughter dempster know noth mother station life return next day school east rosi grant three day grace spent compani daughter nearbi cabin three day pass happili king bagley long manag danc hall seen daughter determin make women barricad cabin resist captur alvarez barthelmess young outlaw consider local prestig come assist john randolph grave also love young woman join fight side end time arriv sheriff fawcett result happi end
1919,A Society Exile,American,George Fitzmaurice,"Elsie Ferguson, Zeffie Tilbury",drama,https://en.wikipedia.org/wiki/A_Society_Exile,"Based upon a plot summary included in a film review in a film publication,[2] Nora (Ferguson) is an American heiress who is courted by Lord Bissett (Gamble) while visiting England. She overhears Bissett discussing with his sister the need of Nora's money to replenish his fortune, so she leaves him and moves into a nearby cottage. A successful playwright Sir Howard Furnival (Stephenson) assists her in preparing a play based upon a novel she has written, but keeps this secret from his wife Doris (Dean), who is very jealous. Bissett obtains a page of the manuscript in Nora's handwriting with enduring terms, and gives it to Doris, telling her that it is a love letter to her husband. This leads to the deaths of both Furnivals, and Nora is blamed and ostracized. Nora changes her name and goes to Venice, where she meets and becomes engaged to English army officer Sir Ralph Newell (Carleton). Before their marriage she confesses who she is in a letter that he never receives. Upon return to England, she discovers that her husband is the brother of Doris and has cursed the woman who caused his sister's death. Bissett reveals to Newell who Nora is. In the end after more melodrama, the lovers are reunited in Venice.",base upon plot summari includ film review film publication2 nora ferguson american heiress court lord bissett gambl visit england overhear bissett discuss sister need nora money replenish fortun leav move nearbi cottag success playwright sir howard furniv stephenson assist prepar play base upon novel written keep secret wife dori dean jealou bissett obtain page manuscript nora handwrit endur term give dori tell love letter husband lead death furniv nora blame ostrac nora chang name goe venic meet becom engag english armi offic sir ralph newel carleton marriag confess letter never receiv upon return england discov husband brother dori curs woman caus sister death bissett reveal newel nora end melodrama lover reunit venic
1919,Soldiers of Fortune,American,Allan Dwan,"Wallace Beery, Ogden Crane",adventure,https://en.wikipedia.org/wiki/Soldiers_of_Fortune_(1919_film),"Robert Clay, a noble America hero of humble means trying to do his best to help the war effort in the fictional capital Olancho in a small South American republic, but he meets a rich lady and they fall in love during the revolution. Robert Clay is the engineer and general manager of the Valencia Mining Company in Olancho. There are two sisters that come into Robert Clay's life. Both are the daughters of Mr. Langham, the president of the Mining company. The older sister, Alice, is a New York City society girl. Her sister Hope is enthusiastic, generous and sweet. Robert Clay meets Alice just before he sails for South America. He shares his admiration for her. Later, when he learns the family are going to Olancho also, he is very happy. But after getting to know Alice better he is sad. During her visit to Olancho a revolution starts, in this time she shows courage and to be a lady of charter. This attracts Clay to her, he ask her to marry him.[3][4][5]",robert clay nobl america hero humbl mean tri best help war effort fiction capit olancho small south american republ meet rich ladi fall love revolut robert clay engin gener manag valencia mine compani olancho two sister come robert clay life daughter mr langham presid mine compani older sister alic new york citi societi girl sister hope enthusiast gener sweet robert clay meet alic sail south america share admir later learn famili go olancho also happi get know alic better sad visit olancho revolut start time show courag ladi charter attract clay ask marri him345
1919,Sunnyside,American,Charles Chaplin,"Charlie Chaplin, Edna Purviance",comedy,https://en.wikipedia.org/wiki/Sunnyside_(film),"Charlie works on a farm from 4 a.m. to late at night at the run-down Evergreen Hotel in the rural village of Sunnyside. He has endless duties inside the hotel as well as farm chores. Chaplin's boss is the local preacher who mistreats him badly. He gets his food and the boss' on the run (milking a cow into his coffee, holding an chicken over the frying pan to get fried eggs). Charlie's love interest in the village is the girl played by Edna Purviance. He loves her, but is disliked by her father. One day, while leading some cattle, a steer escapes into the church. Charlie tries to ride it out of harm's way, but instead is tossed off a small bridge. Unconscious, he dreams of an encounter with four beautiful nymphs who dance with him. Back in reality a city slicker is hurt in a car crash and is being cared for by Edna. He appears to have an eye for Edna too. Chaplin tries to win her back by dressing as the city man does--but his homemade spats only prompt ridicule. When Charlie is rejected after attempting to imitate the slicker, he appears to be preparing to commit suicide. However, the result is ambiguous with the film either having a tragic or a happy ending. Critics have long argued as to whether the final scene is real or a dream.",charli work farm 4 late night rundown evergreen hotel rural villag sunnysid endless duti insid hotel well farm chore chaplin boss local preacher mistreat badli get food boss run milk cow coffe hold chicken fri pan get fri egg charli love interest villag girl play edna purvianc love dislik father one day lead cattl steer escap church charli tri ride harm way instead toss small bridg unconsci dream encount four beauti nymph danc back realiti citi slicker hurt car crash care edna appear eye edna chaplin tri win back dress citi man doesbut homemad spat prompt ridicul charli reject attempt imit slicker appear prepar commit suicid howev result ambigu film either tragic happi end critic long argu whether final scene real dream
1919,The Test of Honor,American,John S. Robertson,"John Barrymore, Constance Binney",drama,https://en.wikipedia.org/wiki/The_Test_of_Honor,"Martin Wingrave(Barrymore) is arrested and sent to prison for seven years for a crime he didn't commit. While incarcerated he learns that his girlfriend and her male accomplice framed him for the crime. When Wingrave is released he plots revenge against his former girl and her man(Manon, Schable). However he begins a romance with his neighbor, a young woman(Binney) who truly loves him and warms his heart.",martin wingravebarrymor arrest sent prison seven year crime didnt commit incarcer learn girlfriend male accomplic frame crime wingrav releas plot reveng former girl manmanon schabl howev begin romanc neighbor young womanbinney truli love warm heart
1919,True Heart Susie,American,D.W. Griffith,"Lillian Gish, Bobby Harron",drama,https://en.wikipedia.org/wiki/True_Heart_Susie,"As described in a film magazine,[2] ""True Heart Susie"" (Gish) lives with her aunt (O'Connor) and loves stupid William Jenkins (Harron). Her love is so great that she sacrifices the family cow, a pet of hers, and other farm produce so that he can go to college, but the benefaction is a secret one, and he finishes his theological studies without suspecting that she aided him. He has impressed her that she must dress as plainly as possible, and she is so attired when she goes with him for a ""sody"" on his triumphant return from college, but his eyes wander to girls giving a more attractive expression of themselves. After he becomes a minister, he cruelly consults Susie about the policy of taking a wife, and almost breaks her heart when he weds gay Bettina ""Betty"" Hopkins (Seymour), expecting his bride to adopt herself to his colorless life. The young wife fails to satisfy her husband with her cooking, with William finding the dishes Susie makes more to his taste. He begins to regret his marriage, and so does his wife, who escapes the monotony of her marriage by attending a dance at a neighboring house. After she loses her key and gets caught in the rain on the way home, Betty appeals to Susie, who shields her from the consequences as far as the minister is concerned. However, Betty's fright and her soaking bring on a fatal sickness, and it is after her death that her husband learns of her escapade. Although he swears never to marry again, he finds that True Heart Susie has given the one opportunity of his life, and he returns to her with the offering of his hand in marriage.",describ film magazine2 true heart susi gish live aunt oconnor love stupid william jenkin harron love great sacrific famili cow pet farm produc go colleg benefact secret one finish theolog studi without suspect aid impress must dress plainli possibl attir goe sodi triumphant return colleg eye wander girl give attract express becom minist cruelli consult susi polici take wife almost break heart wed gay bettina betti hopkin seymour expect bride adopt colorless life young wife fail satisfi husband cook william find dish susi make tast begin regret marriag wife escap monotoni marriag attend danc neighbor hous lose key get caught rain way home betti appeal susi shield consequ far minist concern howev betti fright soak bring fatal sick death husband learn escapad although swear never marri find true heart susi given one opportun life return offer hand marriag
1919,The Turn in the Road,American,King Vidor,"George Nichols, Lloyd Hughes",drama,https://en.wikipedia.org/wiki/The_Turn_in_the_Road,"As described in a film magazine,[2] Paul Perry (Hughes), the son of wealthy iron manufacturer Hamilton Perry (Nichols), openly loves the younger daughter of Reverend Matthew Barker (Hall), while the older daughter, who is more practical, secretly loves him. The young couple get married, and a child is born a year later but the mother dies. Almost insane with grief, the husband reproaches the clergyman for having preached a doctrine of a God who inflicts His children with sorrow. Unable to reconcile himself with his sorrow, he leaves for the slums of Chicago and searches for the truth in connection with the purpose of God. Meanwhile, his son Bob (Alexander) is cared for by the wife's sister. Paul decides to leave Chicago on a freight train, and returns to his home town and spends the night in his father's barn. The next morning Bob, who has spent the night with his grandfather, goes out to the barn to feed some puppies and discovers the sleeping man in the hay. They talk, and Paul's sister-in-law comes to the barn and recognizes him, while Paul discovers that the child is his. There is also a subplot involving a feud between the wealthy iron manufacturer and his workers.",describ film magazine2 paul perri hugh son wealthi iron manufactur hamilton perri nichol openli love younger daughter reverend matthew barker hall older daughter practic secretli love young coupl get marri child born year later mother die almost insan grief husband reproach clergyman preach doctrin god inflict children sorrow unabl reconcil sorrow leav slum chicago search truth connect purpos god meanwhil son bob alexand care wife sister paul decid leav chicago freight train return home town spend night father barn next morn bob spent night grandfath goe barn feed puppi discov sleep man hay talk paul sisterinlaw come barn recogn paul discov child also subplot involv feud wealthi iron manufactur worker
